clade,species_names,total_detections,phenology_peak_mean_estimate,phenology_decay_mean_estimate,degree,normalised.degree,d,degree_scaled,normalised.degree_scaled,d_scaled,degree_supplemented,normalised.degree_supplemented,d_supplemented,degree_scaled_supplemented,normalised.degree_scaled_supplemented,d_scaled_supplemented,degree_supplemented_genus,normalised.degree_supplemented_genus,d_supplemented_genus,degree_scaled_supplemented_genus,normalised.degree_scaled_supplemented_genus,d_scaled_supplemented_genus
Syrphidae,Meligramma triangulifera,1,-0.591863791,-0.81484305,1,0.008333333,0.64145321,-0.834024218,-0.834024218,2.264023997,1,0.002624672,0.664478536,-0.750187468,-0.750187468,2.510757337,1,0.003773585,0.341533931,-0.794079082,-0.794079082,0.371687039
Anthophila,Melissodes microstictus,44,2.856034361,-1.689604193,17,0.141666667,0.331435377,0.927826453,0.927826453,0.264350998,29,0.076115486,0.429299846,0.157965816,0.157965816,0.818335233,27,0.101886792,0.427180949,0.244474277,0.244474277,1.045770795
Syrphidae,Merodon equestris,26,-1.264594399,-1.713051796,8,0.066666667,0.273102308,-0.06321455,-0.06321455,-0.111908202,8,0.020997375,0.319263703,-0.523149147,-0.523149147,0.026479468,8,0.030188679,0.310884749,-0.514468562,-0.514468562,0.130463042
Syrphidae,Myathropa florea,14,1.748889507,-0.121447719,10,0.083333333,0.254837493,0.157016784,0.157016784,-0.22971968,10,0.026246719,0.328276069,-0.458281056,-0.458281056,0.091335375,10,0.037735849,0.331815712,-0.434579843,-0.434579843,0.295199918
Anthophila,Nomada sp.,57,-1.375412417,-0.643904194,16,0.133333333,0.318327145,0.817710786,0.817710786,0.179800454,23,0.060367454,0.367836174,-0.036638459,-0.036638459,0.376022722,20,0.075471698,0.328598267,-0.035136243,-0.035136243,0.269877062
Anthophila,Osmia caerulescens,2,-0.763619237,-0.909790529,2,0.016666667,0.082765576,-0.723908551,-0.723908551,-1.339615717,12,0.031496063,0.228269837,-0.393412964,-0.393412964,-0.628341891,12,0.045283019,0.170072421,-0.354691123,-0.354691123,-0.977798585
Anthophila,Osmia dolerosa,20,-0.883298073,-0.838692878,10,0.083333333,0.253484285,0.157016784,0.157016784,-0.238448123,36,0.094488189,0.222936027,0.385004137,0.385004137,-0.666725717,30,0.113207547,0.17152368,0.364307357,0.364307357,-0.966376468
Anthophila,Osmia lignaria,2,-0.886271379,-0.675270699,2,0.016666667,0.337534271,-0.723908551,-0.723908551,0.303690007,41,0.107611549,0.398232228,0.547174367,0.547174367,0.594762577,37,0.139622642,0.379779559,0.643917877,0.643917877,0.672698762
Anthophila,Osmia morph 1,11,-0.12073778,-0.697702881,6,0.05,0.234421798,-0.283445883,-0.283445883,-0.36140473,6,0.015748031,0.284258381,-0.588017239,-0.588017239,-0.225430176,5,0.018867925,0.27811086,-0.634301642,-0.634301642,-0.127483431
Anthophila,Osmia pusilla,8,-0.254372145,-0.767080674,2,0.016666667,0.259623601,-0.723908551,-0.723908551,-0.198848385,29,0.076115486,0.26951099,0.157965816,0.157965816,-0.331557185,25,0.094339623,0.232565161,0.164585557,0.164585557,-0.485950279
Syrphidae,Parasyrphus insolitus,1,-0.747682476,-0.674437303,1,0.008333333,1,-0.834024218,-0.834024218,4.576717841,6,0.015748031,0.606346707,-0.588017239,-0.588017239,2.092421846,6,0.022641509,0.556144631,-0.594357282,-0.594357282,2.060777812
Syrphidae,Platycheirus stegnus,23,0.048386953,-0.526614991,14,0.116666667,0.247307238,0.597479452,0.597479452,-0.278291232,21,0.05511811,0.249793759,-0.101506551,-0.101506551,-0.473448768,18,0.067924528,0.227272842,-0.115024963,-0.115024963,-0.527603402
Syrphidae,Platycheirus trichopus,3,-0.728144254,-0.957661455,3,0.025,0.17382801,-0.613792884,-0.613792884,-0.752245993,3,0.007874016,0.15191914,-0.685319377,-0.685319377,-1.177786261,3,0.011320755,0.101233011,-0.714190362,-0.714190362,-1.519598287
Syrphidae,Scaeva pyrastri,5,-1.254804865,-0.564410953,4,0.033333333,0.085423118,-0.503677217,-0.503677217,-1.322474078,21,0.05511811,0.122888762,-0.101506551,-0.101506551,-1.386698274,19,0.071698113,0.094616404,-0.075080603,-0.075080603,-1.571674207
Syrphidae,Sericomyia chalcopyga,2,-0.393628815,-1.045695848,2,0.016666667,0.234311994,-0.723908551,-0.723908551,-0.362112987,2,0.005249344,0.249287299,-0.717753423,-0.717753423,-0.477093419,2,0.00754717,0.270556389,-0.754134722,-0.754134722,-0.186940801
Syrphidae,Sphaerophoria philanthus,24,1.701426149,-0.71166385,14,0.116666667,0.142212652,0.597479452,0.597479452,-0.956170961,30,0.078740157,0.273418236,0.190399862,0.190399862,-0.303439377,22,0.083018868,0.238745939,0.044752477,0.044752477,-0.43730454
Syrphidae,Sphaerophoria sulphuripes,28,0.742273507,-0.501291434,14,0.116666667,0.206156382,0.597479452,0.597479452,-0.543721944,21,0.05511811,0.26751424,-0.101506551,-0.101506551,-0.345926443,21,0.079245283,0.261152988,0.004808117,0.004808117,-0.260950151
Anthophila,Sphecodes arvensiformis (morph),11,-0.706157254,-1.245450229,5,0.041666667,0.234297834,-0.39356155,-0.39356155,-0.362204317,5,0.01312336,0.25918209,-0.620451285,-0.620451285,-0.4058873,5,0.018867925,0.261062658,-0.634301642,-0.634301642,-0.261661092
